Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-01-30,The Dictator,2012,https://boxd.it/3MC3Qr,4,,absurt mizah kara mizah sacha baron cohen cart curt alinmayacaksaniz 8 puanlik guldurur film olarak cok saglam degil,,2023-01-29
2023-06-04,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/4knzel,4,,vakit geçirmelik filmler kategorisinin bi tık üstü. +atmosfer ve görsel efektler başarılı,,2023-06-04
2023-06-08,The Super Mario Bros. Movie,2023,https://boxd.it/4lxXkV,3,,"There's no escape; the only hope is the sweet relief of death.
-The Super Mario Bros. Movie, 2023",,2023-06-08
2023-06-20,Black Swan,2010,https://boxd.it/4oPSMD,3,,proje çocuklar kafayı yiyo,,2023-06-19
2023-06-26,The Devil's Advocate,1997,https://boxd.it/4qwn2z,2.5,,keanu reeves' making funny accent,,2023-06-25
2023-06-30,Home Alone,1990,https://boxd.it/4rEtLl,2.5,,die hard but bruce willis is a kid and only last 20 minutes is fun,,2023-06-29
2023-07-01,Ghost in the Shell 2: Innocence,2004,https://boxd.it/4rVv19,3.5,,ciddi tempo sorunu var ya çok hızlı ilerliyor ya da aşırı yavaşlıyor takip etmekte zorlandım,,2023-06-30
2023-07-02,Paprika,2006,https://boxd.it/4sfaoL,5,,"öncelikle filmin soundtrackini övmek istiyorum. filmin konusu gibi soundtracki de teknolojiyle düşlerimize dalıyormuş gibi hissiyat uyandırıyor. gerçeküstücü yoğun bir film hatta bazen aşırı oluyor ama seyretmesi keyifli ve yormuyor. çizimlerini yakın zamanda izlediğim animelerden en beğendim paprika oldu. konusuna gelecek olursak muhtemelen nolan bunu izleyip inceptionı çekmiş diyebilirim ama çizim olduğu için efektler cgi tarzı limitlere takılmadan istediği şeyi özgürce sunabilme imkanı bulmuş. dr atsuko ve paprika karakterlerinin kişiliklerini biraz daha öğrenmek isterdim. bu haliyle tüm karakterler (polis ağabey hariç) yüzeysel kalsalar da filmin olay odaklı ilerleyişinde eksikliği hissedilmiyor. skalamda masterpiece olan filmlere 9, konusu özel olarak ilgimi çekip izlerken de eğlendiren filmlere 10 basıyorum. paprika alnının akıyla 10u hak etti. beğendim, izlerken keyif aldım, tavsiye ederim 777.",,2023-07-01
2023-07-04,Donnie Darko,2001,https://boxd.it/4sUIfP,4.5,,son sahneye seni dert etmeler editi yapmamak için zor tutuyorum,,2023-07-03
2023-07-07,Princess Mononoke,1997,https://boxd.it/4tLdZj,5,,some dark/demonic energy/soul flood curses eveything it touches is my new favorite theme,,2023-07-06
2023-07-12,Drive,2011,https://boxd.it/4vjg1D,3,,ryan gosling beni çok iyi oynamış,,2023-07-11
2023-07-13,Free Guy,2021,https://boxd.it/4vz9Yv,5,,I came looking for copper and I found gold,,2023-07-12
2023-07-14,Gone Girl,2014,https://boxd.it/4vSBy9,5,,gitti kızın sıkıcı bir polisiye filmi olduğunu düşünüyordum ama başyapıt bir korku filmi çıktı,,2023-07-13
2023-07-15,Your Name.,2016,https://boxd.it/4wa1zB,3,,"çok güzel bir şey anlatmaya çalışmış ama çok havada kalmış, hikayeyi işleyişini pek sevmedim. ayrıca müzikler çok kötü",,2023-07-14
2023-07-16,Heathers,1989,https://boxd.it/4wqM19,3,,müzikali daha iyiydi,,2023-07-15
2023-07-19,K-PAX,2001,https://boxd.it/4xsmBN,3,,"senaryo meh, oyunculuklar çok iyi olduğu için izletiyor",,2023-07-18
2023-07-24,Oppenheimer,2023,https://boxd.it/4zpv75,3.5,,"meselesini genel olarak kötü işlemiş ve derinlikten yoksun, keşke cgisız patlama yapmak yerine anlatıma yoğunlaşsaymış. nolan efendiye şu şiiri armağan ediyorum 
ne londra konferansı, ne atom bombası
bir elinde cımbız, bir elinde ayna
umrunda mı dünya",,2023-07-23
2023-07-25,Asteroid City,2023,https://boxd.it/4zVGpX,4.5,,tiyatro ve sci-finin hem iç içe hem de paralel gitmesi tam benlik bir film yapmış. wes andersonın tarzı pek sarmasa da bu filmi beğendim,,2023-07-24
2023-07-27,Secret Invasion,2023,https://boxd.it/4AGE1t,2.5,,mid,,2023-07-26
2023-08-14,Akira,1988,https://boxd.it/4GZIHP,3,,20 30 bölümlük dizi olsaymış keşke hiç kimsenin motivasyonunu anlayamadım. sanki 3 saatlik bir filmmiş gibi ilerleyip çat diye bitti. garip ve belirsiz olsa bile izleyicinin elinden bir miktar tutmayınca sarmıyor,,2023-08-13
2023-08-15,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4Hwuut,4,,"guzel bir ara film, cat diye bitirmek yerine iki filme bolmelerine sevindim. son on dakika oldu bittiye getirip konuyu toparlayacaklar diye feci korkmustum oyle bir hayal kirikligi yaratmadi neyseki",,2023-08-14
2023-08-20,Whiplash,2014,https://boxd.it/4IQalZ,4,,sen benim grubumu bozabileceğini mi sandın he? benim grubum kutsaldır! benim grubumu kimse bozamaz! -j jonah jameson bey,,2023-08-19
2023-09-12,The Terminal,2004,https://boxd.it/4PQ9hF,3,,şapşik tom hanks filmi. hikayeye çok takılmadıkça eğlenceli,,2023-09-11
2023-09-13,Red Eye,2005,https://boxd.it/4Q4525,2.5,,at airports you can meet both tom hanks and cillian murphy. choose wisely who you will talk to,,2023-09-12
2023-09-14,GoodFellas,1990,https://boxd.it/4Qn0XD,4,,i like watching mafia movies but they all look alike and i cant follow who is who,,2023-09-13
2023-09-22,Midnight in Paris,2011,https://boxd.it/4SGMtH,3,,fun to watch nothing too special,,2023-09-22
2023-11-08,Storm of the Century,1999,https://boxd.it/57W6v9,2,,"arkada izlemelik, oyunculuklar çekim vs baya kötü ama stephen king iyi yazmış",,2023-11-07
2023-12-27,Bir Millet Uyanıyor,1932,https://boxd.it/5pkEfb,,,restore edilmemiş olması çok üzücü,,2023-12-27
2024-01-14,Innocence,1997,https://boxd.it/5A8OSH,4.5,,"rastgele insanların hayatlarına dalıp gitmekten keyif alıyorum bu açıdan oldukça başarılı bir film
bazı geçişler çok hızlı bazı sahneler de çok anlamsız geldi
bir de haluk bilginerin efsane tiradı var

not 1: benim de uğurun yusufu azarladığı gibi azarlanmaya ihtiyacım var
not 2: iyiki teknik sebeplerden dolayı 480p izlemişim aynı hissiyatı yüksek çözünürlükte alabileceğimi sanmıyorum",,2024-01-13
2024-01-14,The Wind Rises,2013,https://boxd.it/5AksR7,4.5,,"rüzgar uyandı! . . . artık yaşama zamanıdır

savaşın ve sefaletin ortasında tutku ve aşkın iç içe geçtiği bir hikayeyi anlatıyor filmimiz. hikaye anlatımının ustalığıyla hayran bırakırken; uçakların, gemilerin, manzaraların ve göğün güzelliğiyle izleyenleri büyülemeyi de ihmal etmiyor.
fav ghibli filmlerim arasında mononokeden sonra ikinci sıraya uçarak (pun intended) yerleşti the wind rises",,2024-01-14
2024-01-15,Maestro,2023,https://boxd.it/5AZvDp,4,,bir şeyler anlatsaymış 5 yıldız da alabilirmişti,,2024-01-15
2024-01-16,Flightplan,2005,https://boxd.it/5Bs3bb,2,,"jodie foster için izledim ama senaryosu baya tırt, benim gibi bi durumunuz yoksa izlemeyin",,2024-01-15
2024-01-20,Felek Bir Gün Salakken,1995,https://boxd.it/5DmFsl,4,,"ruh hastası iki artı ikinin beş ettiğini bilir ve bunu sorun etmez. bununla mutlu mesut yaşar. sinir hastası ise iki artı ikinin dört ettiğini bilir ve bundan rahatsızlık duyar.

tek bir oyunla ne kadar büyük bir adam olduğu hissettirdi ferhan şensoy ama bazı yerlerde konuşma hızına yetişemedim :d",,2024-01-19
2024-01-20,CTRL Z,2017,https://boxd.it/5DqlQF,2,,vasat bro,,2024-01-15
2024-01-23,Barbie,2023,https://boxd.it/5F4x0F,3,,ince ince yasemince her konuya dokunduk,,2024-01-23
2024-01-24,Killers of the Flower Moon,2023,https://boxd.it/5FzPSH,4,,lily gladstone bu filmdeki performansıyla oscarı hakketmiş. film çook uzun olsa da mola vererek izleyince hiç sıkmıyor. bana bi mini serienin birleştirilmiş hali hissiyatı verdi.,,2024-01-24
2024-01-26,At the Bar,2007,https://boxd.it/5GkFwF,0.5,,bok gibi film cok kasiyor,,2024-01-22
2024-01-26,Willy Wonka & the Chocolate Factory,1971,https://boxd.it/5Go5Fp,4,,"aslında yaratıcı bir film. çocuk işçiliği kölelik gibi şeyleri içeriyor, çocukların günahları yüzünden ölmesini göz yumuluyor (fabrikadan hiçbir çocuk sağ çıktı mı bilmiyoruz) ama film bende havada kaldı. belki efektlerden belki de willy wonka dışındaki oyunculukların tırtlığından ama yine de ilginç bir film, izlemeye değer

tim burton versiyonu sonrası edit: havada kalma olayının sadece final için geçerli olduğun fark ettim. tim burtondaki soğuk ucubeliği görünce buradaki sıcak ve gizemli havanın hoşuma gittiğini ve neleri aslında doğru yaptığını da fark etmiş oldum. o yüzden ekstra bir yıldız daha",,2024-01-25
2024-01-26,Charlie and the Chocolate Factory,2005,https://boxd.it/5GrXBd,2.5,,"hikaye anlatımında yaptığı tercihleri beğenmedim, filmin o kadar vakti varken boş sohbetle geçirdiği için charlie için golden ticketın neden önemli olduğunu hiç hissetiremiyor

görsel efektler daha kaliteli ama oompa loompaları ali taran yapmak çok çok çok korkunç bir tercih iğrenç olmuş (tim burtonun ucube tarzına rağmen iğrenç/ kötü olmuş)

oversharing yaparak hikayenin ve willy wonkanın tüm gizemini yok ediyor. o kadar tuhaf stylistic bir görsellik tercih edip willy wonkanın o gizemli tekinsizliğini daddy issues yaşayan bir losera çevirmeyi saçma buldum. başta dedesinin eski çalışan olmasını o kadar anlattıktan sonra hikaye sırasında buna yönelik hiçbir değinme yoktu. veee niye herkesin sağ salim dışarı çıktığını gösterdi ki olayın asıl şakası oydu... 

tim burton önceki filmi alıp bazı yerlerini yamamış ama yaptığı değişikleri tüm hikayeye yediremediği için sırıtmış.

niye bu kadar uzun bir inceleme yazdın derseniz sıkıldığım için film esnasında not aldım .d",,2024-01-25
2024-01-28,Wonka,2023,https://boxd.it/5HjBEx,3,,"Scratch that, reverse it.

Wonka izlemesi keyifli ve güzel görsellik sunan bir film olarak umut vaadetse de benim orijinal filme prequel olarak görmek istediğim şeylere karşılık veremedi.
 
Filmin kendisinden bahsetmek gerekirse klasik bir kahramanın öyküsü. Timoti timotioğlan genel olarak filmi sırtında taşıyor.

Şarkıları müzikal seven biri olarak beni tatmin etmedi çok basit ve sıradan buldum. Genel olarak filmin kendisinde de bu sorun var. Basit ve sıradan. 

Bize Willy Wonkanın nasıl Willy Wonka olduğunu anlatmıyor. Zaten çoktan mükemmel çikolatalar yapan her şeyi yapmaya hazır olan karakteri de Willy Wonkaya o kadar benzemeyen birinin kapital biriktirmesini izliyoruz. Benim beklentim o gizemli, tekinsiz ve çikolataya aşık kişinin nasıl oluştuğunu görmekti (woaaav annesi çocukken çikolata pişirmiş ok bra). Bunun yerine friendship always win hikayesi izledik ağızda bir miktar ekşi bir tat bıraktı bu durum. 

Oompa Loompaları da daha çok görmek isterdim keşke onlarla birlikte bir şeyler yapsaydı Wonka.  Sözleşmeye küçük yazılar yazma trickini nerden öğrendiğini görmüş olduk bu tarz dokunuşlar filmin daha geneline yayılmış olsa daha iyi olurmuştu. Finaldeki fabrikanın inşaası ve klasik çikolata yapımını gördüğümüz sahne anlayacağınız sebeplerden ötürü favorimdi. Ama orijinal filmde fabrika deniz kıyısında falan değildi gayet şehrin içindeydi bu da gözden kaçmış gibi...",,2024-01-27
2024-01-29,The Polar Express,2004,https://boxd.it/5HQUxV,2,,"vasat, sıkıcı ve kötü gözüküyor.",,2024-01-28
2024-02-01,Evangelion: 1.0 You Are (Not) Alone,2007,https://boxd.it/5Jmdud,4,,"klasik evangelion, diziden cok cok az farkli",,2024-01-31
2024-02-01,Evangelion: 2.0 You Can (Not) Advance,2009,https://boxd.it/5JoHwR,4.5,,evangelion but what if shinji stopped simping and asked her out,,2024-01-31
2024-02-01,Evangelion: 3.0 You Can (Not) Redo,2012,https://boxd.it/5JrfAR,3.5,,yarım saat daha uzatıp 14 yılda neler oldu ne değişti vs açıklanabilirmiş 1.30saatte kesmenin sebebini çözemedim. önceki filmin tekrarı gibi olmuş ve sadece iki film arasını bağlar gibi kalmış. yine de evangelion ve daha shinji bir shinji görüyoruz bu filmde,,2024-01-31
2024-02-01,Evangelion: 3.0+1.0 Thrice Upon a Time,2021,https://boxd.it/5JvInP,5,,evangelion gercekten de gelmis gecmis en iyi anime. baya uzun ve dolu bir filmdi sindirip tekrardan ugramak lazim buraya,,2024-01-31
2024-02-03,May December,2023,https://boxd.it/5KiSU3,2.5,,"mid. fazla sarmadı, düğümde takılıp kaldı film. bir de julianne moore abartmış artık 60 yaşındasın yahu",,2024-02-03
2024-02-05,Get Ready with Me,2019,https://boxd.it/5LEqk5,,,yuh amk manyagi,,2024-02-05
2024-02-10,The Marvels,2023,https://boxd.it/5NGZkr,3,,"hakkında mızmızlanacak çok şey var ama ben müslüman spidermanı izlerke eğleniyorum, bu film de baya eğlenceliydi bence. genç yenilmezlerde de nick fury rolü oynamasını destekliyorum .d
marvel iyice dibi gördü, çaresizlikten sonunda xmeni getiriyorlar galiba. yeniden marvel hypeına dönülür öyle bir şey olursa",,2024-02-10
2024-02-15,The Boy and the Heron,2023,https://boxd.it/5PG9HV,3.5,,"animasyon ve ses efektleri çok iyiydi, hikaye çok içine çekmedi ama fantastik kısımları beğendim. önceki filmlerine referansları doldurmuş ama hikayenin ilerleyişini havada bırakmış gibi bir miktar.
ve son olarak bu filmi niye how do you live yerine the boy and the heron diye çevirdiniz mal mısınız aq",,2024-02-14
2024-02-19,Mean Girls,2004,https://boxd.it/5RwMGv,4.5,Yes,ahaha çok iyi film bu sefer daha çok eğlendim,,2024-02-18
2024-04-05,Mean Girls,2024,https://boxd.it/6dbljZ,3,,"soft power reginadan hard power reginaya geçiş reginayı çok sıkıcı bi karakter yapmış. cadynin bir şeyler anlatmasının yerine gelen müzikal skorlar aynı işlevi görmede başarılı olmamış. kendi başlarına kinda okeyler ama sadece müzikal yaptık demek için konmuş gibiler, filme katkısı olmamış. üstelik müziklere yer açmak için kesilen kısımlar filmin içini boşaltmış (conference call nerede tina fey hanım???). reginanın redemptionı yerine de haplardan dolayı herkesle iyiyim gibi saçma bi şey koymuşlar, hiç olmamış.
 yeterince mızmızlandıysak geri kalan kısımları fena değildi. og filme yapılan göndermeler hoştu (lindsay lohanin this only ever happened once before demesi gibi). overall; og filmin iki gömlek altında ama boş vakitte çerez niyetine izlenebilir",,2024-04-05
2024-05-20,Doctor Who: The Church on Ruby Road,2023,https://boxd.it/6vlgGr,,,ozledik be baba,,2024-05-19
2024-06-09,No Hard Feelings,2023,https://boxd.it/6DwaKr,2.5,,"karakterleri ve hikayesi ilgi çekicilikten oldukça uzak
çok sık olmasa da ara sıra güldürüyor
jennifer lawrence olmasa sıkılır kapardım
overall: vakit geçirmek için izlenir çok fazla bi şey beklememek lazım",,2024-06-08
2024-06-09,Jennifer's Body,2009,https://boxd.it/6DzQ9D,3,,"bazi iyi anlari var, surukleyici ve bolca amanda seyfried var. onun disinda fazla bi olayi yok. filmin megan fox abi karri gibi kari abi tripleri yorucuydu",,2024-06-08
2024-06-09,Legally Blonde,2001,https://boxd.it/6DF1an,4,,is this saul goodman for women,,2024-06-09
2024-06-11,American Fiction,2023,https://boxd.it/6EwXY7,2.5,,çook sıkıldım,,2024-06-10
2024-06-19,Doctor Who: The Day of the Doctor,2013,https://boxd.it/6HAULz,5,Yes,yüz kere izlesem de sıkılmayacağım çünkü mükemmel,,2024-06-18
2024-06-25,Jin-Roh: The Wolf Brigade,1999,https://boxd.it/6K50IJ,3,,"- once a beast always a beast

konusu ilginç, anlatımı güzel, kırmızı başlıklı kız anlatısının suyunu çıkarmış olsa da bana girişinde vaadettiği distopyayı sunmadığı için tatmin olmadım. o hava ilk dramatik sahneden sonra tamamen kayboldu. kaotik bir çatışma anlatmayı amaçlamıyor farkındayım fakat yine de arkaplanda bu distopyayı daha iyi verebilirdi filmin bi kısmı waifuyla takılmaca gibi hissettirdi, sıkıldım. ama finali baya iyiydi benim kadar distopya beklentiniz olmadan izlerseniz daha çok keyif alırsınız muhtemelen.",,2024-06-25
2024-06-25,Mamma Mia!,2008,https://boxd.it/6K82SR,2.5,,extended abba music video. rengarenk ada görselliği hoşuma gitti ama müzikal için yazılmamış şarkılarla müzikal yapmaya girişince çiğ bir sonuç çıkmış. sonuna kadar plot için (amanda seyfried) dayansam da müzikal seanslarda bolca esnedim.,,2024-06-25
2024-06-26,When Harry Met Sally...,1989,https://boxd.it/6Ko1tN,5,,böyle filmlerde genelde üzerine mızmızlanacak bir sürü şey bulurum ama it's the cutest shit 5/5,,2024-06-25
2024-06-26,Lemonade Mouth,2011,https://boxd.it/6KukGt,4,,bu film beni mutlu etti daha fazla yorum yapmayacağım,,2024-06-26
2024-06-27,After Hours,1985,https://boxd.it/6KG74F,4.5,,dude made a movie about my recurring dream of missing the bus home and I realise it is very entertaining when you are not the action man,,2024-06-26
2024-06-28,The Greatest Showman,2017,https://boxd.it/6L8n8p,2.5,,"malzemeler:
fena olmayan bir mesaj 
fena olmayan müzikler
hugh jackman
bayık bir hikaye
bayık görsellik ve sahne şovları 
zendaya (🤮)

sonuç olarak ne çok sıktı ne de eğlendirdi",,2024-06-27
2024-07-02,Civil War,2024,https://boxd.it/6MNwjx,3,,sivil savas ve savas fotografciligini isleyen bir filmin bu kadar apolitik olmasi bos bir aksiyon filmi hissiyati verdi (yani o zaman direkt aksiyon filmi yapsaydiniz daha keyifli izlerdik). bu filmi alip random bir ulke ya da zamanda gectigini soyleselerdi de film hicbir sekilde degismezdi. sonlardaki twistimsi sey de cok zorlamaydi. cekimler guzeldi (bi zahmet) ozellikle d.c.deki sahnelerde icimiz acildi. ron swansonun baskan oldugu bir gelecekte boyle olaylarin yasanmasi ise hic sasirtmadi.,,2024-07-01
2024-07-13,(500) Days of Summer,2009,https://boxd.it/6Rz5yH,4,,beni cok yakalamadi ama filmligini takdir ettim.,,2024-07-13
2024-07-28,Promising Young Woman,2020,https://boxd.it/6YtZ5x,2.5,,"yet another film carey mulligan oynuyor diye izledik. pek iyi film degil cogu seyi sacma buldum, bir de mavili elbisesi cok guzeldi",,2024-07-28
2024-08-01,Jaws,1975,https://boxd.it/70fMh1,2.5,,yarısı süresinde sıkıldım,,2024-08-01
2024-08-04,A Son of the Sun,2008,https://boxd.it/71unoZ,3,,"bir onur unlu filmi olarak plotunun asiri ilginc ve garip olmasini bekledim, ama beklentimin altinda zayif bir filmdi. monologlarin bazilari zorlama geldi esnetti. konusma siiri gibi efsanevi sahneler de iceriyor. beklentilerimin altinda kalsa da fena olmayan bir film",,2024-08-04
2024-09-15,Pardon,2005,https://boxd.it/7kvI1Z,4.5,,"vurup da es gectigi saka yok. ozellikle en bastaki sorgu kismi yarip geciyor. zaten ferhan sensoy yazmis, oyunculugu da mukemmele yakin. hassiktir be rifat abi diye efsanevi bir repligi de icinde barindirmakta.",,2024-09-15
2024-10-04,IF,2024,https://boxd.it/7sTwW5,3,,"loglamayı unuttuk loglayalım,
çocuklara hitap eden bi gişe filmi
hakkı 4 puan ama birkaç kez ağlamanın eşiğine geldiğim işin emotional connection (+2 puan)",,2024-10-04
2024-10-14,Destiny,2006,https://boxd.it/7xHbB7,1.5,,"sevemedim bu filmi, yalandan masumiyet gibi geldi. demirkubuzun cekim tarzi ayni devam ediyor ama oyunculuklar ayni etkiyi yaratmadi. masumiyetin olayi asiri iyi oyunculuklar sayesinde karakterleri yedirebilmesiydi. zaten vildan ataseverin oyunculugunu da hic begenmiyorum. sert sahneleri cool cumleleri var da onlari twitter kesitlerinde de izleriz film olarak oturmus bi yapi hissettirmedi. bunun yerine masumiyet tiradini 10 tur izlemek zamani daha iyi kullanmak olabilir.",,2024-10-13
2024-10-27,Kolpaçino,2009,https://boxd.it/7EcPSt,2,,"Her repligi komik de film olarak bi butunlugu, basi sonu yok",,2024-10-26
2024-11-02,Smile 2,2024,https://boxd.it/7HYs7n,2.5,,"bir iki jumpscareda hafif hareket ettik onun dışında pek bir korku filmliği yok. sadece bir sahnesinde rahatsız oldum (yetersiz bi sayı).
görsellik açısından izlemesi güzeldi zaten puanın çoğunu burdan kurtardı, bazı sahnelerde (gerilimi yükseltmek için öyle çekildiği belli olsa da) wes anderson film izliyormuşum gibi hissettim.
doğa ötesi bulaşkan canlıyı çıkarıp ablanın dümdüz kafayı yediği psikolojik dramlı falan bi şeyler yapsalarmış çok daha keyifli olurmuş o kısımlar daha ilginç geldi bana.",,2024-11-02
