Date,Name,Year,Letterboxd URI,Rating
2022-07-14,City Lights,1931,https://boxd.it/29ki,3.5
2022-07-14,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,2.5
2022-07-14,Catch Me If You Can,2002,https://boxd.it/29VS,4
2022-07-14,A Beautiful Mind,2001,https://boxd.it/2amk,4.5
2022-07-14,The Pianist,2002,https://boxd.it/2aqc,4.5
2022-07-14,Amélie,2001,https://boxd.it/2aUc,4.5
2022-07-14,Memento,2000,https://boxd.it/2bcK,3.5
2022-07-14,Everything's Gonna Be Great,1998,https://boxd.it/2R36,4.5
2022-07-14,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,3.5
2022-07-14,Frozen,2013,https://boxd.it/3GNa,4.5
2022-07-14,Inside Out,2015,https://boxd.it/4KHC,3.5
2022-07-14,The Imitation Game,2014,https://boxd.it/6aig,4
2022-07-14,Doctor Who: The Day of the Doctor,2013,https://boxd.it/a4Bk,5
2022-07-14,Jojo Rabbit,2019,https://boxd.it/iEBG,4.5
2022-07-14,Cosmos,2014,https://boxd.it/J34E,5
2022-07-14,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2022-07-14,Citizen Kane,1941,https://boxd.it/71O,2
2022-07-14,Romantic,2007,https://boxd.it/Bqu,3
2022-07-14,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2022-07-14,Modern Times,1936,https://boxd.it/25MC,3.5
2022-07-14,The Butterfly Effect,2004,https://boxd.it/27M0,4
2022-07-14,Iron Man,2008,https://boxd.it/28dA,4
2022-07-14,It's a Wonderful Life,1946,https://boxd.it/28xA,4
2022-07-14,The Great Dictator,1940,https://boxd.it/29ic,3
2022-07-14,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,3.5
2022-07-14,Batman Begins,2005,https://boxd.it/2aIg,4.5
2022-07-14,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,1
2022-07-14,Marvel One-Shot: Agent Carter,2013,https://boxd.it/6jeC,4
2022-07-14,Fantastic Beasts and Where to Find Them,2016,https://boxd.it/7FPC,3
2022-07-14,Logan,2017,https://boxd.it/7Piy,4
2022-07-14,Captain America: Civil War,2016,https://boxd.it/89Ja,3.5
2022-07-14,The Hateful Eight,2015,https://boxd.it/8gw8,4
2022-07-14,La La Land,2016,https://boxd.it/a5fa,3.5
2022-07-14,The Brand New Testament,2015,https://boxd.it/aPMO,5
2022-07-14,Encanto,2021,https://boxd.it/kPRu,4
2022-07-14,Watchmen,2009,https://boxd.it/1QE4,5
2022-07-14,Star Wars: The Clone Wars,2008,https://boxd.it/1Sly,4
2022-07-14,No Country for Old Men,2007,https://boxd.it/21ew,3.5
2022-07-14,Westworld,1973,https://boxd.it/26RS,4.5
2022-07-14,Captain America: The First Avenger,2011,https://boxd.it/28b0,2.5
2022-07-14,The Prestige,2006,https://boxd.it/293w,4
2022-07-14,Paths of Glory,1957,https://boxd.it/29b6,4
2022-07-14,Singin' in the Rain,1952,https://boxd.it/29oY,5
2022-07-14,Vertigo,1958,https://boxd.it/2apI,3.5
2022-07-14,12 Angry Men,1957,https://boxd.it/2auI,4.5
2022-07-14,The Dark Knight,2008,https://boxd.it/2b0k,4.5
2022-07-14,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,3.5
2022-07-14,Avengers: Endgame,2019,https://boxd.it/9vE4,4
2022-07-14,Look Who's Back,2015,https://boxd.it/akeQ,5
2022-07-14,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.5
2022-07-14,Frozen II,2019,https://boxd.it/aPvo,4
2022-07-14,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,3.5
2022-07-14,Dunkirk,2017,https://boxd.it/d0Y6,3.5
2022-07-14,Darkest Hour,2017,https://boxd.it/dZZa,4
2022-07-14,The Man from Earth,2007,https://boxd.it/1Ql2,5
2022-07-14,The Man Who Fell to Earth,1976,https://boxd.it/298w,2.5
2022-07-14,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,4.5
2022-07-14,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,4
2022-07-14,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,3.5
2022-07-14,Taxi Driver,1976,https://boxd.it/2b8y,4.5
2022-07-14,2001: A Space Odyssey,1968,https://boxd.it/2bf0,4
2022-07-14,Deadpool 2,2018,https://boxd.it/dlLM,4
2022-07-14,Spider-Man: Far From Home,2019,https://boxd.it/fegG,3.5
2022-07-14,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,3.5
2022-07-14,Joker,2019,https://boxd.it/h4cS,4.5
2022-07-14,Green Book,2018,https://boxd.it/hErk,4
2022-07-14,Parasite,2019,https://boxd.it/hTha,4
2022-07-14,Greyhound,2020,https://boxd.it/iIaE,3.5
2022-07-14,The Cry,2018,https://boxd.it/kffu,3.5
2022-07-14,Chernobyl,2019,https://boxd.it/mkbG,3.5
2022-07-14,Watchmen,2019,https://boxd.it/ol5e,3.5
2022-07-14,Star Wars,1977,https://boxd.it/72s,4.5
2022-07-14,The Avengers,2012,https://boxd.it/1xFW,4
2022-07-14,WALL·E,2008,https://boxd.it/1VEo,3.5
2022-07-14,Thor,2011,https://boxd.it/1WQU,3
2022-07-14,Return of the Jedi,1983,https://boxd.it/27Vm,4.5
2022-07-14,The Empire Strikes Back,1980,https://boxd.it/27Vw,4.5
2022-07-14,"Good Morning, Vietnam",1987,https://boxd.it/29Aq,5
2022-07-14,The Shining,1980,https://boxd.it/29Nu,3.5
2022-07-14,Full Metal Jacket,1987,https://boxd.it/2a1Q,4.5
2022-07-14,Die Hard,1988,https://boxd.it/2a7u,4
2022-07-14,The Terminator,1984,https://boxd.it/2aQY,3.5
2022-07-14,Back to the Future,1985,https://boxd.it/2b8e,4.5
2022-07-14,Blade Runner,1982,https://boxd.it/2bcA,3.5
2022-07-14,Interstellar,2014,https://boxd.it/4VZ8,4
2022-07-14,1917,2019,https://boxd.it/jj4y,4
2022-07-14,"tick, tick... BOOM!",2021,https://boxd.it/jz2e,4
2022-07-14,Palm Springs,2020,https://boxd.it/lCXQ,4
2022-07-14,Persona,2018,https://boxd.it/nBOM,4.5
2022-07-14,WandaVision,2021,https://boxd.it/sbGW,4
2022-07-14,The Serpent,2021,https://boxd.it/trMe,4
2022-07-14,Dead Poets Society,1989,https://boxd.it/2aSg,4.5
2022-07-14,Back to the Future Part III,1990,https://boxd.it/2aTS,4
2022-07-14,Back to the Future Part II,1989,https://boxd.it/2aYI,4
2022-07-14,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3.5
2022-07-14,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,3.5
2022-07-14,Rent,2005,https://boxd.it/2844,5
2022-07-14,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4.5
2022-07-14,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,3.5
2022-07-14,Last Night in Soho,2021,https://boxd.it/lbJC,4
2022-07-14,The Batman,2022,https://boxd.it/eDGs,4
2022-07-14,Hamilton,2020,https://boxd.it/kmvE,5
2022-07-15,West Side Story,2021,https://boxd.it/iwt0,3.5
2022-07-18,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,3.5
2022-07-19,Alita: Battle Angel,2019,https://boxd.it/e0rS,3.5
2022-07-22,Se7en,1995,https://boxd.it/29zs,4
2022-07-22,Beetlejuice,1988,https://boxd.it/24QI,4
2022-08-19,Normal People,2020,https://boxd.it/q2VY,1.5
2022-08-19,Her,2013,https://boxd.it/4O24,4
2022-08-20,Airplane!,1980,https://boxd.it/29yu,4
2022-08-25,Dune,2021,https://boxd.it/fA7G,4
2022-08-26,Unbreakable,2000,https://boxd.it/1XV2,4
2022-08-27,Split,2016,https://boxd.it/dgSy,3.5
2022-08-27,Neon Genesis Evangelion,1995,https://boxd.it/ptEI,5
2022-08-28,Glass,2019,https://boxd.it/g3uO,4
2022-08-28,The Sixth Sense,1999,https://boxd.it/29Js,4
2022-08-30,The Silence of the Lambs,1991,https://boxd.it/2aHW,3.5
2022-08-31,In the Heights,2021,https://boxd.it/gLhu,4.5
2022-08-31,Arrival,2016,https://boxd.it/aNGk,4.5
2022-09-02,Groundhog Day,1993,https://boxd.it/2b3e,5
2022-09-04,Ghost in the Shell,1995,https://boxd.it/1YYc,4
2022-09-11,Django Unchained,2012,https://boxd.it/2cCk,4
2022-09-15,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,5
2023-01-13,Justice League Dark,2017,https://boxd.it/en7G,3
2023-01-13,Justice League Dark: Apokolips War,2020,https://boxd.it/mSeO,3.5
2023-01-17,The Menu,2022,https://boxd.it/lScm,3.5
2023-01-26,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4
2023-01-30,The Dictator,2012,https://boxd.it/2DEW,4
2023-06-04,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/hN1A,4
2023-06-08,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,3
2023-06-20,Black Swan,2010,https://boxd.it/Sw0,3
2023-06-26,The Devil's Advocate,1997,https://boxd.it/286k,2.5
2023-06-28,Scarface,1983,https://boxd.it/2b7g,4.5
2023-06-30,Howl's Moving Castle,2004,https://boxd.it/23De,4
2023-06-30,Home Alone,1990,https://boxd.it/29Fg,2.5
2023-07-01,The Fifth Element,1997,https://boxd.it/71k,2.5
2023-07-01,Ghost in the Shell 2: Innocence,2004,https://boxd.it/1SrG,3.5
2023-07-02,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,3
2023-07-02,Paprika,2006,https://boxd.it/23wW,5
2023-07-04,Donnie Darko,2001,https://boxd.it/2b2A,4.5
2023-07-05,Perfect Blue,1997,https://boxd.it/1W7A,4.5
2023-07-06,Zodiac,2007,https://boxd.it/27MO,3
2023-07-12,Drive,2011,https://boxd.it/IG,3
2023-07-13,Free Guy,2021,https://boxd.it/k8dm,5
2023-07-14,Gone Girl,2014,https://boxd.it/6hQu,5
2023-07-15,Your Name.,2016,https://boxd.it/cUqs,3
2023-07-16,Heathers,1989,https://boxd.it/26x4,3
2023-07-19,K-PAX,2001,https://boxd.it/2aYo,3
2023-07-24,Oppenheimer,2023,https://boxd.it/wUow,3.5
2023-07-25,Asteroid City,2023,https://boxd.it/s3ds,4.5
2023-07-27,Secret Invasion,2023,https://boxd.it/HcqU,2.5
2023-08-14,Akira,1988,https://boxd.it/2b1i,3
2023-08-15,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,4
2023-08-20,Whiplash,2014,https://boxd.it/7bQA,4
2023-09-12,The Terminal,2004,https://boxd.it/2a2O,3
2023-09-13,Red Eye,2005,https://boxd.it/1TNy,2.5
2023-09-14,GoodFellas,1990,https://boxd.it/29FA,4
2023-09-22,Midnight in Paris,2011,https://boxd.it/i4a,3
2023-11-08,Storm of the Century,1999,https://boxd.it/1LCs,2
2023-12-07,Doctor Who: Wild Blue Yonder,2023,https://boxd.it/HDIm,4
2024-01-14,Innocence,1997,https://boxd.it/1j9W,4.5
2024-01-14,The Wind Rises,2013,https://boxd.it/4JQS,4.5
2024-01-15,Maestro,2023,https://boxd.it/j0DE,4
2024-01-16,Flightplan,2005,https://boxd.it/1YZu,2
2024-01-20,Felek Bir Gün Salakken,1995,https://boxd.it/yS8g,4
2024-01-20,CTRL Z,2017,https://boxd.it/iUH6,2
2024-01-23,Barbie,2023,https://boxd.it/bCLK,3
2024-01-24,Killers of the Flower Moon,2023,https://boxd.it/gHp0,4
2024-01-26,At the Bar,2007,https://boxd.it/1r7O,0.5
2024-01-26,Charlie and the Chocolate Factory,2005,https://boxd.it/2b68,2.5
2024-01-26,Willy Wonka & the Chocolate Factory,1971,https://boxd.it/2aLu,4
2024-01-28,Wonka,2023,https://boxd.it/tCQm,3
2024-01-29,The Polar Express,2004,https://boxd.it/23am,2
2024-02-01,Evangelion: 1.0 You Are (Not) Alone,2007,https://boxd.it/1MKi,4
2024-02-01,Evangelion: 2.0 You Can (Not) Advance,2009,https://boxd.it/1zYm,4.5
2024-02-01,Bad Boy,2017,https://boxd.it/fx5i,5
2024-02-01,Evangelion: 3.0 You Can (Not) Redo,2012,https://boxd.it/2BwG,3.5
2024-02-01,Evangelion: 3.0+1.0 Thrice Upon a Time,2021,https://boxd.it/8LnQ,5
2024-02-03,May December,2023,https://boxd.it/vEE2,2.5
2024-02-10,The Marvels,2023,https://boxd.it/mwU4,3
2024-02-10,Scott Pilgrim Takes Off,2023,https://boxd.it/JLZk,4
2024-02-15,The Boy and the Heron,2023,https://boxd.it/ipeM,3.5
2024-02-19,Mean Girls,2004,https://boxd.it/1VNg,4.5
2024-03-09,Everybody Dies... Sometimes,2023,https://boxd.it/GOYe,4
2024-04-05,Mean Girls,2024,https://boxd.it/p6nO,3
2024-04-11,lXHXN,2013,https://boxd.it/ebNq,3
2024-06-03,The Ballad of Russell & Julie,2011,https://boxd.it/A2qm,5
2024-06-09,No Hard Feelings,2023,https://boxd.it/xouu,2.5
2024-06-09,Jennifer's Body,2009,https://boxd.it/1Efw,3
2024-06-09,Legally Blonde,2001,https://boxd.it/1ZNa,4
2024-06-11,American Fiction,2023,https://boxd.it/DYHm,2.5
2024-06-25,Jin-Roh: The Wolf Brigade,1999,https://boxd.it/29wS,3
2024-06-25,Mamma Mia!,2008,https://boxd.it/1Tnq,2.5
2024-06-26,When Harry Met Sally...,1989,https://boxd.it/29W2,5
2024-06-26,Lemonade Mouth,2011,https://boxd.it/4bG,4
2024-06-27,After Hours,1985,https://boxd.it/1VfS,4.5
2024-06-28,The Greatest Showman,2017,https://boxd.it/acjI,2.5
2024-07-02,Civil War,2024,https://boxd.it/z1jW,3
2024-07-13,(500) Days of Summer,2009,https://boxd.it/1EmM,4
2024-07-28,Promising Young Woman,2020,https://boxd.it/loRE,2.5
2024-08-01,Jaws,1975,https://boxd.it/2a5e,2.5
2024-08-04,A Son of the Sun,2008,https://boxd.it/18ny,3
2024-09-15,Pardon,2005,https://boxd.it/1j8,4.5
2024-09-28,Princess Mononoke,1997,https://boxd.it/2b4w,5
2024-10-04,IF,2024,https://boxd.it/nJwG,3
2024-10-14,Destiny,2006,https://boxd.it/SMM,1.5
2024-10-27,Kolpaçino,2009,https://boxd.it/EBU,2
2024-11-03,Smile 2,2024,https://boxd.it/FDA4,2.5
2025-01-26,Trainspotting,1996,https://boxd.it/29XY,4
2025-03-31,Shutter Island,2010,https://boxd.it/1U82,2.5
2025-06-07,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,2.5
2025-06-15,Me and Earl and the Dying Girl,2015,https://boxd.it/9SAE,5
2025-06-22,Yojimbo,1961,https://boxd.it/1SRY,4
2025-06-30,Freaky Friday,2003,https://boxd.it/1WwK,3
2025-07-23,Deadpool & Wolverine,2024,https://boxd.it/jq8s,3
2025-08-27,Superman,2025,https://boxd.it/E9IU,4.5
2025-09-18,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,4.5
2025-09-21,Ponyo,2008,https://boxd.it/1S0A,3
2025-09-22,10 Things I Hate About You,1999,https://boxd.it/23AO,3
2025-09-22,Death Becomes Her,1992,https://boxd.it/1YQi,1.5
2025-09-29,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/18YE,3
2025-10-06,Close Encounters of the Third Kind,1977,https://boxd.it/29u8,3
2025-10-22,Fool's Day,2013,https://boxd.it/bQIq,3
2025-11-30,Big Fish,2003,https://boxd.it/2a3M,4
2025-12-04,The Devil Wears Prada,2006,https://boxd.it/2awE,3
2025-12-05,The Intern,2015,https://boxd.it/7AOE,2.5
2025-12-28,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,2
2026-03-01,Magnetic Rose,1995,https://boxd.it/DEsQ,3
